"Transcript","Condition_A","Condition_B"
"TR75473|c1_g3_i2",1.31,0.75
"TR133236|c0_g1_i1",3.33,2.31
"TR44970|c0_g1_i1",0.5,0.27
"TR192628|c0_g1_i1",0.34,0
"TR150616|c0_g1_i1",0.21,0.38
"TR34050|c0_g1_i1",0.54,0.58
"TR224055|c0_g1_i1",0.59,0.71
"TR3658|c0_g1_i1",0.24,0
"TR194515|c0_g1_i1",1.05,0
"TR129015|c0_g1_i1",0.27,0
"TR42217|c0_g1_i1",1.32,1.43
"TR173016|c0_g1_i1",0.55,0.79
"TR127999|c0_g1_i1",1.67,0
"TR123999|c0_g3_i2",0.27,0
"TR57007|c0_g1_i1",0.92,2.02
"TR205404|c0_g1_i1",0.12,0.02
"TR34185|c0_g1_i2",16.13,11.19
"TR14184|c1_g1_i1",3.07,5.61
"TR204743|c0_g1_i1",0.06,0.46
"TR136860|c0_g1_i1",0.81,1.31
"TR83009|c0_g1_i6",0.12,0.27
"TR33049|c0_g1_i1",1.05,1.16
"TR109608|c0_g2_i1",0.16,0.28
"TR79670|c0_g1_i1",0.4,0
"TR201739|c0_g1_i1",0.81,1.38
"TR73309|c0_g1_i1",0.62,0
"TR50751|c1_g1_i1",0.83,1.79
"TR78547|c2_g1_i1",0.13,0
"TR158984|c0_g1_i1",0.67,1.45
"TR20988|c9_g1_i1",0.5,0.36
"TR112184|c0_g1_i2",0,0.81
"TR105983|c0_g2_i1",0.23,0
"TR145799|c0_g3_i1",1.27,0.98
"TR146326|c0_g2_i1",2.42,2.1
"TR72704|c0_g4_i1",2.66,3.11
"TR152435|c1_g1_i1",0.74,0.4
"TR209808|c0_g1_i1",0.56,0.2
"TR169833|c0_g1_i1",0.56,0
"TR130012|c0_g2_i1",4.84,6.86
"TR141219|c0_g1_i1",0.46,0.44
"TR160725|c0_g1_i1",8.54,8.67
"TR3345|c0_g1_i1",3.12,3.72
"TR8230|c0_g1_i1",0,0.92
"TR64144|c0_g5_i1",0.44,0
"TR72705|c3_g3_i1",0,0.32
"TR151312|c0_g2_i1",0.66,0.55
"TR13608|c0_g1_i2",0.31,0.63
"TR1064|c0_g1_i1",0.75,0.82
"TR124330|c0_g1_i1",21.25,30.79
"TR96067|c0_g1_i1",0.99,1.09
"TR235081|c0_g1_i1",0.26,0.57
"TR67166|c0_g1_i1",0.56,0.81
"TR175640|c0_g1_i1",0.75,0.41
"TR82923|c1_g2_i2",1.43,1.45
"TR73598|c0_g1_i3",0,0.94
"TR228572|c0_g1_i1",0.49,0.34
"TR54538|c0_g1_i1",0.38,0.27
"TR96203|c0_g2_i1",2.24,3.73
"TR69853|c0_g2_i1",0.66,1.08
"TR179509|c0_g1_i1",1.46,0
"TR58905|c0_g1_i3",0.26,0
"TR85849|c0_g1_i1",0.64,1.11
"TR22895|c0_g1_i1",1.57,1.69
"TR11792|c0_g1_i5",0.37,0
"TR77782|c0_g1_i1",0.55,0.72
"TR143021|c0_g1_i1",0.57,1.21
"TR48246|c2_g1_i1",4.61,5.72
"TR51273|c0_g1_i1",0.44,0.97
"TR42152|c3_g3_i2",0.31,0.83
"TR115224|c0_g1_i1",74.79,46.37
"TR56184|c0_g1_i1",0.32,0
"TR49109|c0_g1_i1",1.97,2.07
"TR42076|c0_g2_i4",0.44,0.2
"TR128624|c0_g1_i1",0.05,0.32
"TR25263|c0_g1_i1",4.85,6.02
"TR11834|c0_g1_i3",3.09,3.7
"TR54366|c0_g1_i1",0.59,0
"TR47451|c0_g1_i1",0.2,0
"TR44954|c13_g15_i1",88.79,122.04
"TR108438|c0_g1_i1",0.4,0.33
"TR55414|c0_g1_i1",0.44,0.7
"TR184609|c0_g1_i1",0.93,0.67
"TR154245|c0_g1_i1",4.9,6.09
"TR66678|c0_g1_i1",1.28,1.19
"TR198207|c0_g1_i1",1.07,1.55
"TR82953|c0_g1_i4",0.75,1.09
"TR92691|c0_g1_i1",0.69,0
"TR173704|c0_g1_i1",0.17,0
"TR126542|c0_g1_i2",0.74,0.75
"TR27550|c0_g1_i1",0.8,0
"TR86531|c0_g1_i1",0.54,0.77
"TR49184|c6_g2_i1",0.46,0.66
"TR70034|c0_g1_i1",1.23,2.69
"TR56299|c3_g1_i2",0.91,1.32
"TR56535|c0_g2_i1",8,6.81
"TR223336|c0_g1_i1",0.36,0.5
"TR221030|c0_g1_i1",0.37,0.31
"TR17150|c0_g1_i1",0.45,0.19
"TR79992|c0_g4_i1",0.78,0.99
"TR194137|c0_g1_i1",0.78,0.52
"TR58324|c0_g3_i1",0.26,0
"TR7938|c0_g3_i1",1.27,2.05
"TR196178|c0_g1_i1",0.14,0.29
"TR209170|c0_g1_i1",0.79,0.98
"TR34026|c0_g1_i1",0.3,0.16
"TR28741|c0_g1_i4",0.9,0.57
"TR21176|c0_g1_i6",1.89,0.4
"TR123092|c0_g2_i1",1.16,0.43
"TR131912|c0_g1_i2",0.86,2.09
"TR11171|c0_g1_i1",2.13,1.41
"TR174593|c0_g1_i1",0.58,0
"TR147594|c1_g1_i1",6.41,9.12
"TR226493|c0_g1_i1",0.46,0.5
"TR72539|c0_g1_i1",0.66,0.72
"TR93949|c0_g1_i1",0.42,0.25
"TR76306|c0_g1_i2",5.21,7.24
"TR41154|c0_g1_i1",0.94,1.03
"TR86935|c0_g1_i1",0.72,0.51
"TR84115|c0_g1_i1",2.63,1
"TR5762|c0_g1_i1",1.11,1.19
"TR10511|c0_g1_i1",0.29,0
"TR61157|c0_g1_i1",0.78,0.84
"TR1354|c0_g1_i1",0.86,0
"TR41103|c0_g1_i1",0.37,0.25
"TR137927|c0_g2_i1",0.3,0
"TR187528|c0_g1_i1",0.43,0.28
"TR76924|c1_g2_i1",0.9,0.98
"TR37858|c0_g1_i1",0.77,0.55
"TR164245|c0_g1_i1",0.4,0.48
"TR52956|c0_g1_i1",0.36,0
"TR122036|c0_g1_i1",0.39,0.85
"TR214272|c0_g1_i1",1.04,1.77
"TR229964|c0_g1_i1",0.24,0.51
"TR110208|c0_g1_i1",0.84,1.39
"TR40746|c0_g2_i1",0.45,0.64
"TR131377|c0_g1_i1",0.89,0
"TR42901|c0_g4_i1",0.4,0
"TR165665|c0_g1_i1",0.85,0.73
"TR14695|c1_g2_i1",0.97,1.05
"TR13146|c0_g2_i1",2.09,1.96
"TR25247|c1_g1_i7",1.85,1.78
"TR187882|c0_g1_i1",0.3,0.64
"TR96169|c0_g2_i1",0.8,1.75
"TR208024|c0_g1_i1",0.46,1.27
"TR435|c0_g1_i1",1.47,1.6
"TR207980|c0_g1_i1",0.9,0.54
"TR14464|c0_g1_i1",0.62,0.35
"TR14886|c0_g1_i1",0.91,1.37
"TR108548|c0_g1_i2",4.6,3.49
"TR229020|c0_g1_i1",0.76,0.83
"TR113644|c0_g2_i1",2.26,0
"TR224879|c0_g1_i1",0.56,0
"TR207946|c0_g1_i1",0.98,0.34
"TR108117|c0_g1_i1",1.8,2.6
"TR85072|c0_g1_i1",0.53,0.76
"TR24158|c0_g1_i1",1.18,1.19
"TR120676|c0_g2_i1",0.45,0
"TR223965|c0_g1_i1",0,0.67
"TR94308|c0_g2_i1",4.53,4.93
"TR89896|c0_g1_i1",0.25,0.28
"TR108880|c0_g1_i1",1.59,1.4
"TR16778|c0_g1_i1",2.35,1.94
"TR43898|c0_g1_i1",0,1.12
"TR8768|c0_g2_i3",0.48,0
"TR11511|c0_g1_i4",0.56,0.26
"TR66522|c1_g5_i1",6.7,8.66
"TR71358|c3_g6_i1",0.54,0
"TR208167|c0_g1_i1",1.16,1.78
"TR155562|c0_g3_i1",0.61,0.67
"TR119092|c0_g1_i1",0.38,0.83
"TR237329|c0_g1_i1",0.65,0
"TR193354|c0_g1_i1",1.55,0.81
"TR142251|c0_g1_i1",0.63,1.37
"TR44926|c10_g2_i1",26.15,35.8
"TR111204|c0_g1_i1",0.75,1
"TR5417|c1_g2_i1",0.7,0
"TR200081|c0_g1_i1",1.07,0.86
"TR53306|c1_g6_i2",3.12,3.13
"TR19642|c0_g1_i1",12.23,15.6
"TR126137|c0_g1_i1",1.21,1.33
"TR93909|c0_g2_i1",0.58,0.49
"TR234875|c0_g1_i1",0.36,1.11
"TR64848|c0_g1_i2",1.27,0.55
"TR85932|c0_g1_i3",4.01,3.72
"TR123399|c0_g3_i1",0.18,0
"TR234331|c0_g1_i1",0.6,0.65
"TR152668|c0_g1_i1",0.14,0
"TR206953|c0_g1_i1",0.48,0.34
"TR24650|c0_g2_i1",0.43,0.94
"TR11486|c0_g1_i8",2.15,1.06
"TR229650|c0_g1_i1",0.65,0
"TR163151|c1_g1_i1",0.73,1.58
"TR155752|c0_g1_i1",1.24,1.33
"TR214862|c0_g1_i1",0.63,1
"TR9596|c0_g1_i10",0,0.17
"TR38156|c0_g2_i2",0.2,0.44
"TR16963|c0_g1_i2",3.18,2.16
"TR164314|c0_g1_i1",0.18,0
"TR12083|c0_g1_i1",0.3,0.5
"TR117042|c0_g1_i1",1.32,0.72
"TR77214|c0_g1_i1",0.34,0.36
"TR114501|c0_g1_i2",0.26,0
"TR159524|c1_g1_i1",0.72,2.08
"TR91214|c0_g1_i1",0.6,0.56
"TR146417|c0_g2_i1",0.89,0
"TR81581|c0_g1_i1",1.33,1.77
"TR25530|c0_g1_i1",0.42,0.42
"TR129031|c0_g1_i1",0.83,0.29
"TR148951|c0_g1_i1",0.46,0
"TR201018|c0_g1_i1",1.01,1.1
"TR94744|c0_g3_i2",5.53,3.86
"TR139437|c0_g1_i1",0.71,0.82
"TR194720|c0_g1_i1",0.85,1.08
"TR231615|c0_g1_i1",0.41,0.89
"TR15025|c0_g1_i1",0.83,0.51
"TR99568|c0_g1_i1",1.29,1.53
"TR88958|c0_g1_i2",1.2,1.08
"TR30067|c0_g1_i1",0.48,0.52
"TR60939|c0_g1_i2",4.53,4.79
"TR85443|c1_g2_i2",3.89,2.64
"TR228541|c0_g1_i1",0.37,0.18
"TR52137|c0_g1_i1",0.17,0
"TR14348|c0_g1_i1",2.3,1.08
"TR65075|c1_g2_i3",0.76,0.78
"TR81545|c0_g1_i16",0,0.81
"TR3671|c0_g3_i5",1.29,1.44
"TR3849|c0_g1_i1",0.26,0
"TR208975|c0_g1_i1",0.7,0.88
"TR106806|c0_g1_i1",0.26,0
"TR19789|c1_g8_i1",24.67,25.29
"TR10790|c0_g1_i1",0.49,0
"TR70289|c0_g1_i1",0.53,0.57
"TR55329|c1_g2_i1",1.57,2.09
"TR51360|c0_g3_i1",0,0.21
"TR181771|c0_g1_i1",0.97,0
"TR163085|c0_g1_i1",0.63,0.69
"TR90046|c0_g1_i1",4.45,3.69
"TR235171|c0_g1_i1",0.43,0
"TR53490|c0_g1_i1",0.68,0.49
"TR75555|c0_g6_i1",0.44,0
"TR84946|c6_g5_i4",1.65,1.64
"TR64394|c0_g1_i1",0.89,0.8
"TR206860|c0_g1_i1",0.33,0
"TR49075|c0_g1_i5",0.18,0
"TR140296|c0_g2_i1",0.43,0.45
"TR13477|c0_g1_i1",0.8,0
"TR197920|c0_g1_i1",0.97,0.81
"TR147753|c0_g2_i1",0.67,0.35
"TR77191|c0_g1_i1",1.07,0
"TR206674|c0_g1_i1",0.38,0.66
"TR41995|c0_g2_i3",0.87,1.11
"TR141657|c0_g1_i1",1.06,1.21
"TR22188|c1_g1_i1",0.61,0.49
"TR205984|c0_g1_i1",0.55,0.58
"TR180114|c0_g1_i1",0.58,0
"TR148684|c0_g1_i1",1.05,0.77
"TR4943|c0_g1_i1",0.81,0.74
"TR57527|c0_g1_i1",0.55,0.78
"TR12692|c0_g1_i1",0.65,0.7
"TR68794|c0_g1_i1",0.55,0.47
"TR44864|c0_g1_i1",7.07,7.38
"TR44243|c2_g1_i1",4.24,5.46
"TR118635|c0_g1_i1",0.17,0
"TR141814|c0_g1_i5",0.41,0.16
"TR79475|c0_g1_i1",0.82,0.39
"TR57816|c0_g1_i6",1.76,2.01
"TR13285|c0_g1_i1",0.61,0.74
"TR40695|c0_g1_i8",0.55,0.31
"TR140231|c0_g1_i1",0.42,0
"TR88192|c0_g2_i1",0.36,0.78
"TR161294|c0_g1_i1",0.7,0.59
"TR104401|c0_g1_i1",0.5,0.6
"TR10198|c0_g1_i1",0.65,1.2
"TR48247|c3_g2_i10",1.38,1.43
"TR217542|c0_g1_i1",0.46,0.33
"TR86813|c0_g1_i1",0.67,0.72
"TR30867|c2_g11_i6",1.25,1.58
"TR19777|c0_g1_i1",1.35,0.27
"TR108870|c0_g2_i1",0.14,0.29
"TR74615|c0_g1_i3",1.09,0.37
"TR21889|c0_g1_i1",1.35,1.16
"TR86693|c2_g5_i1",9.34,7.05
"TR63613|c0_g1_i1",0.26,0
"TR164046|c0_g1_i1",0.69,0
"TR100288|c0_g2_i1",0.6,0
"TR54653|c0_g1_i1",0.63,0.79
"TR202585|c0_g1_i1",0.95,0.69
"TR238344|c0_g1_i1",0.31,0.67
"TR158880|c0_g1_i2",0.33,0
"TR98332|c0_g1_i1",0.45,0.82
"TR28731|c3_g3_i1",8.82,6.84
"TR25255|c0_g1_i6",0.3,0
"TR26288|c0_g1_i3",0.72,1.9
"TR175553|c0_g1_i1",0.75,0.54
"TR160275|c0_g5_i1",0.81,1
"TR95508|c0_g1_i1",0.37,0
"TR11768|c0_g1_i3",0.69,0.15
"TR40474|c0_g1_i1",0.55,0
"TR83729|c0_g2_i1",1.4,0.89
"TR206643|c0_g1_i1",1.34,2.19
"TR230932|c0_g1_i1",0.67,1.22
"TR166416|c0_g1_i1",0.5,0
"TR21004|c1_g2_i6",0.48,0.01
"TR156190|c0_g1_i1",1.59,1.73
"TR190733|c0_g1_i1",0.86,0.94
"TR96537|c0_g1_i1",0.55,0.88
"TR74378|c0_g3_i1",0.55,0.23
"TR45171|c0_g1_i1",0.58,0.41
"TR126987|c0_g1_i1",0.64,0.61
"TR9978|c0_g1_i1",0.53,0.38
"TR142451|c0_g1_i1",0.83,1.18
"TR49991|c0_g1_i1",0.92,0.33
"TR86232|c1_g2_i1",4.1,0
"TR168154|c0_g1_i1",0.99,1.44
"TR131868|c0_g1_i1",0.89,0.94
"TR12271|c1_g5_i1",6.59,11.05
"TR27562|c0_g1_i1",0.7,0.62
"TR234523|c0_g1_i1",1.14,0.56
"TR29338|c0_g1_i6",0.37,0.71
"TR57417|c0_g1_i1",0.49,0.53
"TR56330|c0_g1_i8",0.11,0
"TR57820|c1_g4_i1",4.12,4.95
"TR8476|c0_g1_i1",0.65,1.33
"TR100742|c1_g1_i1",0.24,0
"TR50911|c3_g1_i1",0.89,0.89
"TR105403|c0_g2_i1",0.36,0
"TR219950|c0_g1_i1",0.59,0.64
"TR65|c0_g1_i1",0.73,0.89
"TR56554|c0_g1_i1",1.08,2.35
"TR130518|c0_g2_i1",0.37,0.81
"TR80325|c0_g1_i1",0.86,0.94
"TR27799|c0_g1_i2",0.69,0.56
"TR51931|c0_g2_i2",0.08,0.02
"TR28407|c0_g1_i1",3.61,3.46
"TR13352|c0_g7_i1",0.23,0.49
"TR2890|c0_g1_i1",1.37,2.05
"TR7028|c0_g3_i1",0.79,0
"TR68950|c0_g6_i8",0.25,0
"TR39293|c1_g1_i1",0.66,0.8
"TR133147|c0_g1_i1",0.81,0.44
"TR177470|c0_g1_i1",0.44,0.96
"TR13571|c1_g10_i1",35.35,23.68
"TR205763|c0_g1_i1",0.75,1.61
"TR112524|c0_g1_i1",0.3,0
"TR110390|c0_g1_i1",0.25,0.54
"TR55972|c0_g1_i1",19.1,18.74
"TR64891|c0_g1_i1",1.56,2.51
"TR42145|c0_g1_i7",0.93,0.73
"TR136239|c0_g2_i1",0.32,0.52
"TR208596|c0_g1_i1",0.2,0
"TR106639|c0_g1_i1",0.32,0.7
"TR216645|c0_g1_i1",0.46,0
"TR11764|c1_g2_i3",1.04,0.41
"TR146044|c0_g1_i1",1.26,1.52
"TR54227|c0_g1_i1",0.84,0.92
"TR30860|c1_g1_i15",0.24,0.02
"TR60455|c0_g1_i2",2.95,0.51
"TR57474|c0_g1_i1",0.96,0.56
"TR85064|c0_g1_i1",0.55,1.17
"TR188075|c0_g1_i1",0.29,0.25
"TR41776|c2_g6_i1",2.19,1.46
"TR58753|c0_g1_i1",0.6,0.65
"TR99671|c0_g4_i1",0.4,0.63
"TR36818|c0_g2_i1",0.29,0
"TR226503|c0_g1_i1",0.7,1.01
"TR63629|c0_g1_i1",0.69,0.5
"TR112810|c0_g1_i1",0.48,0
"TR163342|c0_g1_i1",0.58,1.91
"TR130100|c0_g1_i1",0.49,0
"TR21033|c3_g5_i2",0.21,0
"TR207802|c0_g1_i1",1,1.05
"TR205999|c1_g1_i1",0.67,0
"TR61261|c1_g1_i1",0.81,0.53
"TR167128|c0_g1_i1",0.63,0.69
"TR118229|c0_g2_i1",0.36,0
"TR107589|c0_g2_i1",0.7,0
"TR29289|c0_g2_i1",0.63,0
"TR168721|c0_g1_i1",1.1,0.95
"TR160568|c0_g2_i1",0.64,0
"TR100384|c0_g1_i1",15.86,14.27
"TR81543|c2_g2_i1",0.72,1.26
"TR106249|c0_g2_i1",1.93,1.87
"TR84584|c6_g1_i6",73.5,6.14
"TR74603|c0_g2_i8",3.96,3.3
"TR193248|c0_g1_i1",0.35,0.25
"TR4948|c0_g1_i1",0.95,0.69
"TR2750|c0_g1_i1",1.29,1.89
"TR237508|c0_g1_i1",1.52,0.83
"TR68413|c0_g1_i1",0.44,0
"TR3192|c0_g1_i1",0.46,0.49
"TR107759|c0_g1_i1",1.01,2.53
"TR128519|c0_g2_i1",0.14,0
"TR161146|c0_g1_i1",1.58,1.16
"TR214678|c0_g1_i1",0.67,0
"TR98339|c0_g2_i1",0.44,0
"TR85738|c0_g1_i1",0.31,0
"TR216525|c0_g1_i1",0.73,1.28
"TR81525|c0_g1_i1",0.33,0.7
"TR77152|c0_g1_i1",0.45,0.98
"TR42148|c0_g1_i2",1.25,1.03
"TR208485|c0_g1_i1",0.89,1.59
"TR49038|c1_g2_i1",10.69,11.65
"TR16218|c0_g1_i1",0.01,0
"TR98835|c0_g2_i1",0.4,0.44
"TR139010|c0_g2_i1",0.44,0
"TR161614|c0_g1_i1",0.17,0
"TR189229|c0_g1_i1",0.72,0.9
"TR239439|c0_g1_i1",0.37,0
"TR148445|c1_g1_i1",0.86,1.25
"TR23024|c0_g1_i1",0.49,0.48
"TR89271|c0_g4_i1",2.05,1.1
"TR24437|c0_g1_i1",0.57,0.3
"TR99951|c0_g2_i1",0.88,1.66
"TR158587|c0_g1_i1",1.6,0.87
"TR77305|c0_g1_i1",1.38,1.33
"TR221380|c0_g1_i1",0.44,0.77
"TR80559|c0_g1_i1",0.28,0.66
"TR56627|c0_g2_i1",1.45,0.83
"TR230163|c0_g1_i1",0.7,0.76
"TR31742|c0_g5_i69",0.48,0
"TR30452|c0_g3_i2",0,1.63
"TR176390|c0_g1_i1",0.76,0
"TR47968|c0_g1_i1",0.34,0
"TR226009|c0_g1_i1",0.54,1.07
"TR6142|c0_g1_i1",0.5,0
"TR122805|c0_g1_i1",1.35,0.51
"TR53615|c0_g1_i1",0.21,0.44
"TR177807|c0_g1_i1",0.88,0.51
"TR204560|c0_g1_i1",1.24,1.23
"TR146633|c0_g1_i1",0.6,0.78
"TR108297|c0_g1_i1",0.52,0
"TR97001|c0_g1_i1",0.51,0.93
"TR84982|c0_g2_i2",0.37,0
"TR86920|c0_g1_i1",1.42,3.52
"TR69421|c1_g1_i1",0.92,0.87
"TR89655|c0_g1_i1",0.84,0.99
"TR162521|c0_g1_i1",0.76,0
"TR121443|c0_g2_i1",0.68,0.93
"TR1030|c0_g1_i1",0,0.04
"TR53373|c8_g2_i4",1.17,1.43
"TR69042|c0_g1_i1",0.29,0.55
"TR181403|c0_g1_i1",0.62,0.88
"TR31256|c0_g1_i1",0.4,0.88
"TR78568|c0_g1_i7",0.5,0.4
"TR21021|c6_g2_i6",0.52,0.63
"TR130406|c0_g1_i1",1.8,3.98
"TR67705|c0_g1_i1",0.44,0
"TR134702|c1_g1_i1",0.11,0
"TR80008|c0_g1_i1",1.15,1.41
"TR116167|c0_g1_i1",0.48,0.48
"TR114606|c0_g3_i1",0.19,0.31
"TR52417|c0_g1_i1",0.26,0.65
"TR69319|c0_g1_i1",0.26,0
"TR161936|c1_g1_i1",0,0.34
"TR28780|c8_g5_i1",8.55,10.72
"TR25807|c0_g1_i3",0.85,0.51
"TR9107|c0_g1_i1",0.76,0.83
"TR83436|c0_g1_i1",2.06,2.3
"TR145229|c0_g1_i1",0.47,1.01
"TR5778|c0_g1_i1",0.98,1.23
"TR149658|c0_g1_i3",0,0.81
"TR88843|c0_g1_i1",0.98,2.14
"TR28807|c0_g2_i3",0.24,0
"TR151617|c0_g1_i1",0.87,0.37
"TR43272|c0_g1_i1",0.99,0.39
"TR128661|c0_g2_i1",1.05,2.22
"TR6354|c0_g1_i1",1.11,1.2
"TR162734|c0_g1_i1",1.16,1.26
"TR98628|c0_g1_i1",0.04,0.54
"TR41847|c0_g1_i1",1.37,1.54
"TR33721|c0_g1_i1",0.86,0
"TR26978|c4_g20_i1",0.75,0.54
"TR85465|c0_g1_i1",2.42,2.51
"TR22183|c0_g1_i1",0.84,0.78
"TR183265|c0_g1_i1",0.08,1.97
"TR22097|c4_g3_i1",1.01,0
"TR197255|c0_g1_i1",0.98,0.97
"TR160975|c0_g2_i1",0.34,0.75
"TR25277|c0_g2_i2",0.63,1.01
"TR164967|c0_g1_i1",1.04,1.14
"TR15805|c21_g2_i1",40.82,29.77
"TR14819|c0_g1_i1",3.65,4.63
"TR74624|c0_g1_i1",3.8,2.26
"TR73927|c0_g1_i1",0.72,0.19
"TR184055|c0_g1_i1",0.36,0.78
"TR12260|c0_g1_i1",0.37,0
"TR97370|c1_g1_i2",0.2,0
"TR86925|c0_g1_i1",1.59,1.81
"TR49217|c1_g1_i3",0.21,0.35
"TR198924|c0_g1_i1",0.55,0.29
"TR86863|c0_g1_i1",0.37,0
"TR50426|c0_g1_i1",0,0.22
"TR38202|c0_g1_i1",1.84,1.05
"TR227468|c0_g1_i1",0.17,0.25
"TR211289|c0_g1_i1",0.8,0
"TR195955|c0_g1_i1",0.44,0.3
"TR22126|c0_g1_i1",0.37,0.43
"TR38919|c4_g1_i2",1.3,1.34
"TR49596|c0_g1_i1",0.9,1.42
"TR145173|c1_g1_i2",0.74,0.81
"TR1918|c0_g1_i1",0.94,0.51
"TR18375|c0_g1_i4",0.3,0.59
"TR95585|c0_g1_i1",0.82,0
"TR216443|c0_g1_i1",0.32,0
"TR151658|c0_g1_i1",1.77,1.79
"TR77687|c0_g1_i2",0.43,1.07
"TR4945|c0_g1_i1",0.39,0.56
"TR193367|c0_g1_i1",0.75,0.82
"TR131300|c0_g1_i1",0.73,1.58
"TR6914|c0_g2_i7",0.18,0
"TR149743|c0_g1_i1",4.12,4.07
"TR118580|c0_g1_i1",0.03,0
"TR109757|c0_g1_i1",1.08,1.79
"TR112125|c0_g1_i1",0.58,0.78
"TR66189|c0_g2_i3",0.5,0.78
"TR40779|c0_g1_i1",0.68,1.1
"TR207136|c0_g1_i1",0.7,0.76
"TR144702|c0_g1_i1",0.45,0.54
"TR68457|c0_g1_i1",0.46,0.3
"TR4743|c0_g2_i9",4.53,5.38
"TR38134|c1_g3_i1",0.71,1.14
"TR219973|c0_g1_i1",0.54,0.77
"TR71339|c9_g1_i1",0.26,0.45
"TR44945|c9_g2_i4",32.86,29.65
"TR12810|c0_g1_i1",1.21,0.65
"TR193237|c0_g1_i1",0.23,0.49
"TR128639|c1_g1_i1",0.82,0
"TR38117|c0_g2_i4",0.69,0.88
"TR173468|c0_g1_i1",1.01,1.35
"TR176928|c0_g1_i1",0.38,0
"TR21000|c1_g2_i7",0.9,1.82
"TR13322|c0_g6_i1",1.26,0.6
"TR209462|c0_g1_i1",0.53,0.56
"TR127711|c0_g1_i1",1.79,0
"TR121843|c0_g2_i1",2.98,2.44
"TR197536|c0_g1_i1",0.66,0.67
"TR212589|c0_g1_i1",0.86,0.94
"TR153053|c0_g1_i1",0.3,0.97
"TR117986|c0_g1_i1",0.91,1.36
"TR149902|c0_g1_i1",0.52,0.47
"TR46902|c0_g1_i1",1.03,0.75
"TR161370|c0_g1_i1",0.42,0
"TR146687|c1_g1_i1",0.23,0
"TR223643|c0_g1_i1",0.54,0.91
"TR150532|c0_g1_i1",0.88,0.52
"TR45607|c0_g1_i1",0.3,0.47
"TR19765|c1_g2_i1",12.45,12.43
"TR148814|c0_g2_i1",0,0.97
"TR5187|c0_g1_i2",0.32,0.67
"TR28815|c0_g2_i1",0.41,0.51
"TR105391|c0_g1_i1",0.74,1.05
"TR83455|c0_g1_i7",0.36,0.48
"TR29276|c0_g1_i2",0.46,3.26
"TR48460|c0_g2_i1",0.4,0.87
"TR229855|c0_g1_i1",0.65,2.08
"TR132529|c0_g1_i1",17.58,11.24
"TR1763|c4_g1_i1",2.02,1.77
"TR131043|c0_g2_i2",0.73,0
"TR44883|c1_g2_i1",0.48,0
"TR157901|c0_g1_i1",0.2,0
"TR145521|c0_g1_i1",0.79,0.57
"TR207545|c0_g1_i1",0.52,0.73
"TR35339|c5_g13_i2",0.19,0.41
"TR67510|c0_g1_i1",0.7,1.51
"TR188457|c0_g1_i1",0.75,0.39
"TR215034|c0_g1_i1",0.13,0
"TR55385|c0_g1_i1",4,3.64
"TR86534|c0_g1_i1",1.25,0.91
"TR73135|c5_g2_i1",4.75,5.79
"TR158522|c0_g1_i2",0.47,0.09
"TR72689|c1_g8_i3",0,0.57
"TR42846|c0_g1_i3",0.11,0
"TR105051|c0_g1_i2",0.48,0.55
"TR87316|c0_g1_i1",0.46,0.33
"TR159506|c0_g2_i2",1.09,0.9
"TR105552|c0_g1_i1",0.33,0.33
"TR141817|c0_g1_i2",0.36,0
"TR144019|c0_g1_i1",0.43,0
"TR197259|c0_g1_i1",0.5,0
"TR79865|c0_g1_i1",0.55,0.23
"TR224199|c0_g1_i1",0.43,0
"TR138996|c1_g1_i1",0.49,0
"TR35312|c1_g2_i1",0.37,0.32
"TR47323|c0_g1_i1",1.13,0
"TR101549|c0_g1_i1",0.56,0.98
"TR2950|c0_g1_i2",4.89,3.15
"TR30398|c0_g1_i2",0.94,1.51
"TR75029|c0_g1_i1",0.56,0.72
"TR2620|c0_g1_i1",0.97,2.11
"TR20243|c0_g1_i1",0.92,1.01
"TR219493|c0_g1_i1",0.49,0
"TR66053|c0_g1_i1",0.48,0.02
"TR189950|c0_g1_i1",0.68,0
"TR37477|c0_g1_i1",1.28,0.93
"TR14500|c0_g1_i1",0.74,0.72
"TR181175|c0_g1_i1",0.36,0
"TR228921|c0_g1_i1",0.72,0.19
"TR38332|c0_g1_i1",0.99,2.18
"TR223790|c0_g1_i1",0.64,0.63
"TR16064|c0_g1_i1",1,0
"TR132897|c0_g1_i1",0.35,0
"TR234146|c0_g1_i1",0.21,0.46
"TR201951|c0_g1_i1",0.52,0
"TR71369|c0_g2_i1",1.14,0
"TR72809|c0_g1_i4",0.47,1.15
"TR153791|c0_g1_i1",0.33,0.23
"TR62635|c1_g4_i1",0.33,0.42
"TR92088|c0_g1_i1",53.4,53.53
"TR125950|c0_g2_i1",0.31,0.44
"TR185120|c0_g1_i1",0.54,0.69
"TR148516|c0_g1_i1",0.69,0.53
"TR226326|c0_g1_i1",0.38,0.2
"TR70358|c0_g1_i1",0.32,0
"TR117815|c0_g1_i1",5.6,4.71
"TR28610|c0_g1_i1",0.61,0.65
"TR29182|c0_g1_i1",0.7,0
"TR43186|c0_g1_i1",0.43,0
"TR164834|c0_g1_i1",0.54,0
"TR67462|c0_g1_i1",0.31,0.31
"TR2938|c0_g2_i1",0.16,0
"TR149702|c0_g1_i2",0.97,1.03
"TR149363|c0_g1_i1",1.66,1.79
